Time [hr];Sublimation Temperature [C];Vial Bottom Temperature [C];Shelf Temperature [C];Chamber Pressure [mTorr];Sublimation Flux [kg/hr/m^2];Percent Dried
0.78;-9.188084304109283;-5.060847006860119;119.9999999999993;150.0;3.2169038116834177;41.91323190575764
0.79;-9.092467612085542;-5.0042057780926195;120.0;150.0;3.2154468458217638;42.43570145586209
0.8;-9.035039235914834;-5.000000000000021;119.50639473613931;150.0;3.202641797106017;42.95793437461452
0.81;-8.981381012526723;-5.000000000000006;118.9812562294571;150.0;3.189133811959252;43.47808757683415
0.8200000000000001;-8.928458368425947;-5.000000000000039;118.46464478324286;150.0;3.1758451659100557;43.99604689594891
0.8300000000000001;-8.876251799110447;-4.999999999999969;117.9563205986271;150.0;3.1627696906818286;44.51184795565361
0.84;-8.824742550963343;-5.000000000000006;117.45605361343544;150.0;3.1499014684521005;45.02552537782986
0.85;-8.773912590360297;-5.000000000000011;116.9636227493734;150.0;3.1372348124881713;45.53711282322329
0.86;-8.72374455665628;-5.000000000000027;116.47881565785946;150.0;3.1247642606092456;46.04664302897569
0.87;-8.674221738708269;-4.999999999999993;116.0014280525407;150.0;3.1124845580168263;46.55414784509532
0.88;-8.625328039558802;-4.999999999999992;115.53126348022383;150.0;3.1003906514025443;47.05965826813875
0.89;-8.577047945959118;-4.999999999999963;115.06813289763053;150.0;3.0884776780610905;47.56320447393551
0.9;-8.529366502060943;-4.999999999999997;114.61185428889401;150.0;3.0767409560512555;48.06481584854474
0.91;-8.482269287013038;-5.000000000000005;114.16225233109395;150.0;3.0651759755925134;48.56452101761376
0.92;-8.435742377909945;-5.000000000000004;113.7191580823472;150.0;3.0537783910419423;49.062347874339295
0.93;-8.389772342867278;-4.999999999999999;113.28240866867131;150.0;3.0425440128394037;49.55832360612577
0.9400000000000001;-8.344346207643449;-4.999999999999988;112.8518470559446;150.0;3.031468801641856;50.05247471993519
0.9500000000000001;-8.299451438985276;-5.000000000000034;112.42732166377206;150.0;3.02054885839086;50.54482706668462
0.96;-8.25507592452924;-5.000000000000011;112.00868629057037;150.0;3.0097804223855946;51.03540586403017
0.97;-8.211207954676418;-4.999999999999981;111.59579968695617;150.0;2.999159860309224;51.524235718838305
0.98;-8.167836204494455;-4.99999999999999;111.18852544940495;150.0;2.9886836634935494;52.01134064787474
0.99;-8.124949717989539;-4.999999999999996;110.78673179934162;150.0;2.978348442236584;52.49674409804904
1.0;-8.082537890510796;-5.0000000000000355;110.39029134075354;150.0;2.96815091956774;52.98046896573643
1.01;-8.040590456968554;-4.999999999999959;109.99908089065704;150.0;2.9580879268869316;53.462537615086916
1.02;-7.999097474605642;-5.0000000000000195;109.61298130836023;150.0;2.948156399572777;53.94297189562614
1.03;-7.958049312110441;-4.999999999999955;109.23187730030085;150.0;2.9383533719624886;54.421793159142965
1.04;-7.917436635157943;-5.000000000000078;108.85565728905539;150.0;2.9286759739824455;54.8990222757617
1.05;-7.877250395614162;-5.0;108.48421323422833;150.0;2.9191214265409506;55.374679649467126
1.06;-7.837481819133882;-5.000000000000052;108.11744049639265;150.0;2.909687038028451;55.84878523288119
1.07;-7.798122394892991;-5.000000000000068;107.7552377010736;150.0;2.9003702008187977;56.321358541471334
1.08;-7.7591638651359585;-4.999999999999974;107.39750660428552;150.0;2.8911683878105072;56.792418667190525
1.09;-7.720598215122794;-4.999999999999983;107.04415196812737;150.0;2.8820791492267417;57.26198429155561
1.1;-7.682417663902631;-4.999999999999894;106.69508143871018;150.0;2.873100109475258;57.730073698205885
1.11;-7.644614655387085;-5.000000000000007;106.35020543786693;150.0;2.864228964362915;58.19670478495169
1.12;-7.60718184980929;-4.999999999999949;106.00943705276237;150.0;2.8554634782561075;58.66189507537063
1.1300000000000001;-7.570112115543208;-5.000000000000129;105.67269193316619;150.0;2.846801481438392;59.12566172994257
1.1400000000000001;-7.533398521498932;-4.999999999999962;105.33988819459455;150.0;2.8382408676189814;59.588021556755486
1.1500000000000001;-7.497034329663001;-4.999999999999939;105.01094632481545;150.0;2.8297795915278585;60.04899102180672
1.16;-7.4610129880268445;-4.999999999999976;104.68578909460089;150.0;2.82141566662004;60.508586258913475
1.17;-7.425328123922765;-5.000000000000021;104.36434147259837;150.0;2.8131471628858566;60.96682307925073
