LyoPRONTO Parameter Estimation Results
Generated: 2025-10-02 18:27:11

Estimated Parameters
R0 [cm²·hr·Torr/g],0.020892795981931313
A1 [cm·hr·Torr/g],7.843317809906947
A2 [1/cm],0.50813989753207

Standard Errors
σ(R0),0.041578275130411
σ(A1),0.47963956856463896
σ(A2),0.14421644158290062

Time [hr],Sublimation Temp [°C],Vial Bottom Temp [°C],Shelf Temp [°C],Chamber Pressure [mTorr],Sublimation Flux [kg/hr/m²],Fraction Dried
2.02,-28.460720216857574,-26.64846117,20.0,150.0,1.1999248057124412,31.621102534291456
2.03,-28.43339602027688,-26.62712843,20.0,150.0,1.1993760698429639,31.815986873426127
2.04,-28.406195005434803,-26.60590747,20.0,150.0,1.1988302092579342,32.01078209028684
2.05,-28.379116143428977,-26.58479735,20.0,150.0,1.1982871997780018,32.20548865185941
2.06,-28.35215841631699,-26.56379714,20.0,150.0,1.1977470174810465,32.40010702120267
2.07,-28.32532079634284,-26.5429059,20.0,150.0,1.197209638187725,32.594637657490104
2.08,-28.29860229785184,-26.52212273,20.0,150.0,1.196675038747597,32.789081015968186
2.09,-28.272001925359397,-26.50144672,20.0,150.0,1.1961431957529964,32.9834375481234
2.1,-28.24551870469563,-26.48087698,20.0,150.0,1.1956140863107125,33.17770770164052
2.11,-28.219151682991182,-26.46041264,20.0,150.0,1.1950876880419885,33.371891920486156
2.12,-28.192899907908192,-26.44005283,20.0,150.0,1.1945639785680668,33.5659906449923
2.13,-28.1667624276394,-26.41979668,20.0,150.0,1.1940429355101914,33.76000431185627
2.14,-28.140738311657717,-26.39964334,20.0,150.0,1.1935245370040566,33.953933354140865
2.15,-28.11482666107629,-26.37959199,20.0,150.0,1.1930087619570457,34.147778201357724
2.16,-28.089026546389576,-26.35964178,20.0,150.0,1.1924955885048505,34.34153927959282
2.17,-28.06333709046784,-26.33979191,20.0,150.0,1.1919849960693059,34.53521701138102
2.18,-28.037757385556606,-26.32004155,20.0,150.0,1.191476963300565,34.72881181591504
2.19,-28.012286576253526,-26.30038992,20.0,150.0,1.1909714701349121,34.92232410892006
2.2,-27.986923786894142,-26.28083622,20.0,150.0,1.1904684959941791,35.11575430286266
2.21,-27.96166816303445,-26.26137967,20.0,150.0,1.1899680208146544,35.30910280686723
2.22,-27.936518861070496,-26.2420195,20.0,150.0,1.1894700247898535,35.50237002679955
2.23,-27.911475037865667,-26.22275494,20.0,150.0,1.1889744881132844,35.69555636530852
2.24,-27.886535871478465,-26.20358524,20.0,150.0,1.1884813914929226,35.88866222182623
2.25,-27.861700540422273,-26.18450965,20.0,150.0,1.1879907156367313,36.08168799265145
2.26,-27.836968244388753,-26.16552744,20.0,150.0,1.1875024417671347,36.27463407094969
2.27,-27.812338173151087,-26.14663787,20.0,150.0,1.1870165508493242,36.46750084683671
2.28,-27.787809548009335,-26.12784023,20.0,150.0,1.186533024620181,36.660288707336704
2.29,-27.76338158033491,-26.1091338,20.0,150.0,1.1860518445593526,36.852998036507785
2.3,-27.739053502649533,-26.09051788,20.0,150.0,1.1855729926609435,37.045629215400005
2.31,-27.714824547898225,-26.07199177,20.0,150.0,1.185096450919057,37.23818262213908
2.32,-27.690693949448683,-26.05355477,20.0,150.0,1.1846222013277934,37.43065863192628
2.33,-27.666660982508184,-26.03520622,20.0,150.0,1.1841502269101671,37.623057617038484
2.34,-27.642724901976926,-26.01694544,20.0,150.0,1.1836805101747352,37.81537994699527
2.35,-27.618884963164913,-25.99877175,20.0,150.0,1.1832130336300573,38.00762598847538
2.36,-27.595140463195808,-25.98068451,20.0,150.0,1.1827477808135969,38.19979610531667
2.37,-27.571490668529943,-25.96268305,20.0,150.0,1.1822847344911387,38.391890658683295
2.38,-27.547934877076983,-25.94476673,20.0,150.0,1.1818238782001522,38.5839100069403
2.39,-27.524472397479975,-25.92693492,20.0,150.0,1.1813651957353286,38.77585450577902
2.4,-27.50110252841475,-25.90918698,20.0,150.0,1.1809086706341296,38.96772450825879
2.41,-27.477824589632885,-25.89152229,20.0,150.0,1.1804542869484844,39.159520364765235
2.42,-27.454637901258874,-25.87394023,20.0,150.0,1.1800020287303057,39.35124242309376
2.43,-27.431541804476595,-25.8564402,20.0,150.0,1.1795518805459693,39.54289102844961
2.44,-27.408535620146072,-25.83902158,20.0,150.0,1.1791038264473965,39.73446652353138
2.45,-27.385618700522567,-25.82168378,20.0,150.0,1.1786578512581907,39.925969248447494
2.46,-27.362790387875563,-25.8044262,20.0,150.0,1.1782139395447253,40.11739954084149
2.47,-27.340050055851297,-25.78724827,20.0,150.0,1.1777720766450515,40.308757735850314
2.48,-27.31739705776248,-25.7701494,20.0,150.0,1.1773322473827792,40.50004416622956
2.49,-27.294830767948614,-25.75312902,20.0,150.0,1.1768944370959549,40.69125916227001
2.5,-27.27235056109077,-25.73618656,20.0,150.0,1.1764586311226413,40.8824030518811
2.51,-27.24995582254584,-25.71932146,20.0,150.0,1.1760248150581196,41.073476160591014
2.52,-27.227645948339546,-25.70253317,20.0,150.0,1.1755929747548963,41.26447881158839
2.53,-27.20542032449424,-25.68582113,20.0,150.0,1.1751630958082575,41.45541132576409
2.54,-27.18327836836105,-25.66918481,20.0,150.0,1.1747351645851671,41.646274021669505
2.55,-27.16121947694766,-25.65262366,20.0,150.0,1.1743091669381354,41.837067215641774
2.56,-27.139243068248327,-25.63613715,20.0,150.0,1.1738850892341233,42.02779122172035
2.57,-27.11734856057386,-25.61972475,20.0,150.0,1.1734629178400993,42.21844635173044
2.58,-27.095535382878367,-25.60338594,20.0,150.0,1.1730426393802502,42.4090329152831
2.59,-27.073802974752343,-25.58712021,20.0,150.0,1.1726242407359977,42.59955121981692
2.6,-27.05215077609069,-25.57092705,20.0,150.0,1.1722077087887575,42.79000157063991
2.61,-27.030578216768344,-25.55480594,20.0,150.0,1.171793030162724,42.98038427092939
2.62,-27.009084747614963,-25.53875638,20.0,150.0,1.171380191996539,43.170699621690304
2.63,-26.987669840401555,-25.52277789,20.0,150.0,1.1709691819433026,43.36094792183871
2.64,-26.966332936223512,-25.50686996,20.0,150.0,1.170559986884435,43.55112946828536
2.65,-26.945073517757113,-25.49103212,20.0,150.0,1.1701525947302622,43.741244555810376
2.66,-26.923891037003308,-25.47526387,20.0,150.0,1.1697469926194275,43.93129347723036
2.67,-26.902784997846585,-25.45956476,20.0,150.0,1.1693431689767149,44.12127652327303
2.68,-26.88175485285823,-25.44393429,20.0,150.0,1.1689411109407692,44.31119398278615
2.69,-26.86080009616617,-25.428372,20.0,150.0,1.1685408066791416,44.5010461425286
2.7,-26.839920232486012,-25.41287744,20.0,150.0,1.168142244616615,44.690833287337526
2.71,-26.819114746174716,-25.39745014,20.0,150.0,1.167745412663518,44.88055570017009
2.72,-26.79838314249148,-25.38208965,20.0,150.0,1.167350299244626,45.070213662019924
2.73,-26.777724926962474,-25.36679552,20.0,150.0,1.1669568927847211,45.259807452000686
2.74,-26.7571396156904,-25.35156731,20.0,150.0,1.1665651819658156,45.449337347346074
2.75,-26.73662671472997,-25.33640457,20.0,150.0,1.1661751552126898,45.63880362345155
2.76,-26.71618574070958,-25.32130686,20.0,150.0,1.1657868012073456,45.82820655383264
2.77,-26.695816231131225,-25.30627376,20.0,150.0,1.165400109146251,46.01754641016667
2.78,-26.67551771344036,-25.29130484,20.0,150.0,1.165015067968638,46.206823462376285
2.79,-26.655289725641147,-25.27639968,20.0,150.0,1.1646316668709689,46.39603797858774
2.8,-26.635131785379237,-25.26155784,20.0,150.0,1.1642498945352544,46.58519022517264
2.81,-26.61504345176876,-25.24677892,20.0,150.0,1.1638697406724048,46.7742804666644
2.82,-26.595024273859583,-25.23206251,20.0,150.0,1.1634911947361175,46.96330896592533
